NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
46796,E2020100001201,長野県長野市,長野市立松ヶ丘小学校,長野県長野市安茂里小市2-20-1,1,,,1,,,,,1,36.626755713926,138.14337774222,
46797,E2020100002201,長野県長野市,安茂里体育館,長野県長野市安茂里小市3-27-11,,1,,1,,,,,1,36.622856961504,138.14265615627,
46798,E2020100003201,長野県長野市,長野市立下氷鉋小学校,長野県長野市稲里町下氷鉋50,1,1,,1,,,,,1,36.600740094088,138.17705252191,
46799,E2020100004201,長野県長野市,長野市立広徳中学校,長野県長野市稲里町田牧1355-1,1,1,,1,,,,,1,36.59256568,138.1720717,
46800,E2020100005201,長野県長野市,長野県長野南高等学校,長野県長野市稲里町田牧236-2,1,1,,1,,,,,1,36.59871647,138.177849,
46801,E2020100006201,長野県長野市,長野市立北部中学校,長野県長野市屋敷田389,1,1,,1,,,,,1,36.68208162,138.2126035,
46802,E2020100007201,長野県長野市,美里集会所,長野県長野市鬼無里10817-1,,,,1,,,,,1,36.69444192,138.0083949,
46803,E2020100008201,長野県長野市,小鬼無里公民館,長野県長野市鬼無里11493-3,,,,1,,,,,1,36.68956833,138.0070172,
46804,E2020100009201,長野県長野市,松原公民館,長野県長野市鬼無里12615,1,1,,,,,,,1,36.679319042749,137.99147012908,
46805,E2020100010201,長野県長野市,鬼無里公民館両京分館,長野県長野市鬼無里13994-1,,1,,1,,,,,1,36.68570229,137.9670519,
46806,E2020100011201,長野県長野市,東京公民館,長野県長野市鬼無里14163-1,1,1,,,,,,,1,36.68840059,137.966413,
46807,E2020100012201,長野県長野市,鬼無里屋内運動場,長野県長野市鬼無里147-8,,1,,1,,,,,1,36.67855443,138.004836,
46808,E2020100013201,長野県長野市,鬼無里運動場,長野県長野市鬼無里150,,1,,1,,,,,,36.67956689,138.0040571,
46809,E2020100014201,長野県長野市,鬼無里老人福祉センター,長野県長野市鬼無里160-3,,1,,1,,,,,1,36.680520884045,138.00309110937,
46810,E2020100015201,長野県長野市,鬼無里高齢者生活福祉センター,長野県長野市鬼無里160-4,,1,,1,,,,,1,36.680279963301,138.00348807631,
46811,E2020100017201,長野県長野市,新倉地区公民館,長野県長野市鬼無里2309-1,1,,,1,,,,,1,36.680638399847,138.01352503529,
46812,E2020100018201,長野県長野市,東町公民館,長野県長野市鬼無里2940,1,,,,,,,,1,36.68557343,138.0083933,
46813,E2020100019201,長野県長野市,町区公民館,長野県長野市鬼無里309-3,1,1,,,,,,,1,36.68210095,138.0036527,
46814,E2020100020201,長野県長野市,上新倉公民館,長野県長野市鬼無里3694-2,1,,,,,,,,1,36.68498615,138.015366,
46815,E2020100021201,長野県長野市,大沢集会所,長野県長野市鬼無里4158-1,1,,,1,,,,,1,36.69693827,138.0221338,
46816,E2020100022201,長野県長野市,山大公民館,長野県長野市鬼無里4959-1,1,,,1,,,,,1,36.7020341,138.027489,
46817,E2020100023201,長野県長野市,峯地区公民館,長野県長野市鬼無里5925,1,,,1,,,,,1,36.71507329,138.036326,
46818,E2020100024201,長野県長野市,品沢高原体育館,長野県長野市鬼無里6770-17,1,1,,,,,,,1,36.73297417,138.0365473,
46819,E2020100025201,長野県長野市,上里健康スポーツセンター,長野県長野市鬼無里7395,1,1,,1,,,,,1,36.71205069,138.0219912,
46820,E2020100026201,長野県長野市,鬼無里公民館上里分館,長野県長野市鬼無里7420-1,1,,,1,,,,,1,36.71219239,138.0224126,
46821,E2020100027201,長野県長野市,長野市立鬼無里小学校・鬼無里中学校,長野県長野市鬼無里77,1,1,,1,,,,,1,36.678912482205,138.00475779254,
46822,E2020100030201,長野県長野市,財又公民館,長野県長野市鬼無里9294-1,1,,,,,,,,1,36.70339562,138.0143057,
46823,E2020100028201,長野県長野市,坂屋公民館,長野県長野市鬼無里８６４３－イ,1,,,,,,,,1,36.7076072,138.0187806,
46824,E2020100029201,長野県長野市,新井公民館,長野県長野市鬼無里８８２６－イ,1,,,,,,,,1,36.706314059503,138.01865994687,
46825,E2020100031201,長野県長野市,裾花第一公民館,長野県長野市鬼無里日影10430-7,,1,,1,,,,,1,36.70616689,137.9565294,
46826,E2020100032201,長野県長野市,裾花第二公民館,長野県長野市鬼無里日影11023-3,,,,1,,,,,1,36.7153729,137.9635506,
46827,E2020100033201,長野県長野市,鬼無里活性化センター,長野県長野市鬼無里日影2750-1,,1,,1,,,,,1,36.68018062,138.0015068,
46828,E2020100034201,長野県長野市,中区第一公民館,長野県長野市鬼無里日影3535-1,1,,,1,,,,,1,36.671869061112,137.99628310798,
46829,E2020100035201,長野県長野市,中区第二公民館,長野県長野市鬼無里日影4274,1,,,,,,,,1,36.66992534,137.9935493,
46830,E2020100036201,長野県長野市,中区活性化センター,長野県長野市鬼無里日影4965-2,1,,,1,,,,,1,36.67324623,137.9921455,
46831,E2020100037201,長野県長野市,祖山集会場,長野県長野市鬼無里日影5046-1,1,,,1,,,,,1,36.67392482,137.9900553,
46832,E2020100038201,長野県長野市,共栄公民館,長野県長野市鬼無里日影5954-2,1,1,,,,,,,1,36.68086293,137.9827152,
46833,E2020100039201,長野県長野市,西京公民館,長野県長野市鬼無里日影6745-1,,1,,1,,,,,1,36.68592595,137.9640348,
46834,E2020100040201,長野県長野市,両京健康スポーツセンター,長野県長野市鬼無里日影6831,,,,1,,,,,1,36.685683501606,137.96578309889,
46835,E2020100041201,長野県長野市,田之頭公民館,長野県長野市鬼無里日影8754-2,1,,,1,,,,,1,36.68738976,137.9417464,
46836,E2020100042201,長野県長野市,上平公民館,長野県長野市鬼無里日影891-5,1,,,1,,,,,1,36.673572807774,138.00692519047,
46837,E2020100044201,長野県長野市,長野県長野吉田高等学校第１グラウンド,長野県長野市吉田2-12-9,,1,,1,,,,,,36.67124606,138.2141063,
46838,E2020100045201,長野県長野市,長野市立吉田小学校,長野県長野市吉田3-12-12,,1,,1,,,,,1,36.66936777,138.2216355,
46839,E2020100046201,長野県長野市,長野運動公園,長野県長野市吉田5-1-19,1,1,,1,,1,,,1,36.66090267,138.231284,
46840,E2020100047201,長野県長野市,長野市立東部中学校,長野県長野市桐原2-8-1,1,1,,1,,,,,1,36.664272264942,138.21855771394,
46841,E2020100048201,長野県長野市,長野県長野吉田高等学校戸隠分校,長野県長野市戸隠1491,1,1,,1,,,,,1,36.727691269934,138.07893337817,
46842,E2020100049201,長野県長野市,戸隠交流促進施設（そばの里二番館）,長野県長野市戸隠1584,1,1,,1,,,,,1,36.72748611,138.077,
46843,E2020100050201,長野県長野市,宝光社振興館,長野県長野市戸隠2174-1,1,1,,,,,,,1,36.72935949,138.0769066,
46844,E2020100051201,長野県長野市,戸隠中社公会堂,長野県長野市戸隠3422-1,1,1,,1,,,,,1,36.7388369,138.0852177,
46845,E2020100052201,長野県長野市,越水生活センター,長野県長野市戸隠3648-2,1,1,,1,,,,,1,36.75018601,138.0856121,
46846,E2020100053201,長野県長野市,上楠川文化センター,長野県長野市戸隠870-1,1,,,1,,,,,1,36.72655796,138.0655081,
46847,E2020100054201,長野県長野市,下祖山公民館,長野県長野市戸隠祖山1055-1,1,,,1,,,,,1,36.66898403,138.0884059,
46848,E2020100055201,長野県長野市,下内振興館,長野県長野市戸隠祖山1717-1,1,,,,,,,,1,36.66907899,138.0916987,
46849,E2020100056201,長野県長野市,坪山ふれあいセンター,長野県長野市戸隠祖山2424-3,1,,,1,,,,,1,36.66280592,138.096638,
46850,E2020100057201,長野県長野市,土合生活改善センター,長野県長野市戸隠祖山270-1,1,,,1,,,,,,36.67108991,138.0784117,
46851,E2020100058201,長野県長野市,ふるさとセンター,長野県長野市戸隠祖山31-1,,,,1,,,,,1,36.671983778739,138.07797506529,
46852,E2020100059201,長野県長野市,上組公会堂,長野県長野市戸隠祖山5219-2,1,,,,,,,,1,36.66556082,138.0619148,
46853,E2020100060201,長野県長野市,上祖山振興館,長野県長野市戸隠祖山5704-1,1,,,,,,,,1,36.66736655,138.0578745,
46854,E2020100061201,長野県長野市,西部公会堂,長野県長野市戸隠祖山6999-2,1,,,,,,,,1,36.67014461,138.0503763,
46855,E2020100062201,長野県長野市,今井公会堂,長野県長野市戸隠栃原1162,1,,,,,,,,1,36.69483758,138.0672058,
46856,E2020100063201,長野県長野市,福平生活改善センター,長野県長野市戸隠栃原1912-4,1,1,,1,,,,,1,36.68926501,138.0640566,
46857,E2020100065201,長野県長野市,倉平生活改善センター,長野県長野市戸隠栃原249-1,1,,,1,,,,,1,36.68491381,138.0767191,
46858,E2020100066201,長野県長野市,平多目的集会所,長野県長野市戸隠栃原2549-1,1,1,,,,,,,1,36.68679675,138.0690556,
46859,E2020100067201,長野県長野市,解藁神社（町組集会所）,長野県長野市戸隠栃原2710-1,1,1,,,,,,,1,36.68845278,138.0714509,
46860,E2020100068201,長野県長野市,清水集会所,長野県長野市戸隠栃原3103-2,1,,,,,,,,1,36.68264369,138.0687154,
46861,E2020100069201,長野県長野市,柵運動場,長野県長野市戸隠栃原3391-2,1,1,,1,,,,,,36.67766265,138.0678898,
46862,E2020100070201,長野県長野市,志垣生活改善センター,長野県長野市戸隠栃原4144-2,1,,,,,,,,1,36.67351577,138.0743339,
46863,E2020100071201,長野県長野市,戸隠体育館,長野県長野市戸隠栃原4788-2,1,1,,1,,,,,1,36.67646743,138.0682019,
46864,E2020100072201,長野県長野市,長野市立戸隠公民館,長野県長野市戸隠栃原4789,1,1,,1,,,,,1,36.67662228,138.0675456,
46865,E2020100073201,長野県長野市,五十土生活改善センター,長野県長野市戸隠栃原5276,1,,,1,,,,,1,36.68570145,138.0625339,
46866,E2020100074201,長野県長野市,笹原公会堂,長野県長野市戸隠栃原5983,1,,,,,,,,1,36.68709884,138.0554293,
46867,E2020100075201,長野県長野市,田頭改善センター,長野県長野市戸隠栃原7084,1,,,,,,,,1,36.68160647,138.0530239,
46868,E2020100076201,長野県長野市,西条公民館,長野県長野市戸隠栃原7532,1,,,,,,,,1,36.68123034,138.0579907,
46869,E2020100077201,長野県長野市,追通生活改善センター,長野県長野市戸隠栃原8868-1,1,,,,,,,,1,36.67455077,138.0533093,
46870,E2020100078201,長野県長野市,戸隠裾花デイサービスセンター,長野県長野市戸隠栃原9246-1,1,,,1,,,,,1,36.67218055,138.04815555,
46871,E2020100064201,長野県長野市,針立組集会所,長野県長野市戸隠栃原２０１９－ロ,1,1,,,,,,,1,36.69151388,138.06822777,
46872,E2020100079201,長野県長野市,中耕生活改善センター,長野県長野市戸隠豊岡10328-1,1,1,,1,,,,,1,36.702178548006,138.10152372357,
46873,E2020100080201,長野県長野市,銚子口生活改善センター,長野県長野市戸隠豊岡10392-4,1,1,,1,,,,,1,36.69445123,138.1054018,
46874,E2020100081201,長野県長野市,二条生活改善センター,長野県長野市戸隠豊岡1226-5,1,1,,,,,,,1,36.70642873,138.0866096,
46875,E2020100082201,長野県長野市,馬場生活改善センター,長野県長野市戸隠豊岡1521-2,1,1,,1,,,,,1,36.703834391231,138.09082707403,
46876,E2020100083201,長野県長野市,長野市立戸隠小学校,長野県長野市戸隠豊岡1531,1,1,,1,,,,,1,36.703384738599,138.08894581942,
46877,E2020100084201,長野県長野市,中央生活改善センター,長野県長野市戸隠豊岡1533-7,1,1,,,,,,,1,36.702891736253,138.0884929241,
46878,E2020100085201,長野県長野市,戸隠農村環境改善センター,長野県長野市戸隠豊岡1550-1,1,1,,1,,,,,1,36.70224152,138.0888516,
46879,E2020100086201,長野県長野市,和沢生活改善センター,長野県長野市戸隠豊岡2251-4,1,1,,1,,,,,1,36.70279426,138.0918455,
46880,E2020100087201,長野県長野市,中村公会堂,長野県長野市戸隠豊岡2488,1,1,,,,,,,1,36.70233287,138.0955909,
46881,E2020100088201,長野県長野市,長野市立戸隠中学校,長野県長野市戸隠豊岡2960,1,1,,1,,,,,1,36.699767466096,138.09367817691,
46882,E2020100089201,長野県長野市,横道公会堂,長野県長野市戸隠豊岡3146-3,1,1,,,,,,,1,36.69637807,138.0882011,
46883,E2020100090201,長野県長野市,上楡木生活改善センター,長野県長野市戸隠豊岡3301-4,1,,,1,,,,,1,36.6949993,138.0870097,
46884,E2020100091201,長野県長野市,原生活改善センター,長野県長野市戸隠豊岡336-4,1,1,,1,,,,,1,36.70880959,138.0957503,
46885,E2020100092201,長野県長野市,東原生活改善センター,長野県長野市戸隠豊岡4166,1,1,,1,,,,,1,36.6889934,138.0960709,
46886,E2020100093201,長野県長野市,猿丸生活改善センター,長野県長野市戸隠豊岡4494-1,1,,,1,,,,,1,36.68371521,138.0966942,
46887,E2020100094201,長野県長野市,川下生活改善センター,長野県長野市戸隠豊岡4785,,,,1,,,,,1,36.67175894,138.0981954,
46888,E2020100095201,長野県長野市,川手区活性化支援センター（川手記念館）,長野県長野市戸隠豊岡6054-2,1,,,1,,,,,1,36.67531833,138.078288,
46889,E2020100096201,長野県長野市,日照田生活改善センター,長野県長野市戸隠豊岡6087-2,1,,,1,,,,,1,36.67674743,138.0790325,
46890,E2020100097201,長野県長野市,折橋公会堂,長野県長野市戸隠豊岡6985,1,,,,,,,,1,36.68865331,138.0800015,
46891,E2020100098201,長野県長野市,下楠川生活改善センター,長野県長野市戸隠豊岡7541,1,,,1,,,,,1,36.707270689693,138.07669183253,
46892,E2020100100201,長野県長野市,西部区活性化促進センター,長野県長野市戸隠豊岡8254,1,1,,1,,,,,1,36.70142472,138.072794,
46893,E2020100101201,長野県長野市,奈良尾公会堂,長野県長野市戸隠豊岡9027,1,,,,,,,,1,36.69922728,138.0715833,
46894,E2020100099201,長野県長野市,尾上生活改善センター,長野県長野市戸隠豊岡７７９－イ,1,1,,,,,,,1,36.711099308361,138.08847760657,
46895,E2020100102201,長野県長野市,母袋公会堂,長野県長野市戸隠豊岡９４７３－ロ,1,,,,,,,,1,36.70079928,138.0661213,
46896,E2020100103201,長野県長野市,合戦場公園,長野県長野市合戦場2-17,,1,,1,,,,,,36.58029865,138.1575748,
46897,E2020100104201,長野県長野市,長野県長野工業高等学校,長野県長野市差出南3-9-1,,1,,1,,,,,,36.628175,138.17431111,
46898,E2020100105201,長野県長野市,長野県長野商業高等学校,長野県長野市妻科243,,1,,1,,,,,,36.65545268,138.1763165,
46899,E2020100106201,長野県長野市,三本柳中央公園,長野県長野市三本柳西1-71,,1,,1,,,,,,36.61841111,138.16401388,
46900,E2020100107201,長野県長野市,長野市立三本柳小学校,長野県長野市三本柳東2-1,1,1,,1,,,,,1,36.618650592884,138.1664791756,
46901,E2020100108201,長野県長野市,長野市立城東小学校,長野県長野市三輪6-14-30,1,1,,1,,,,,1,36.657176134923,138.19814495574,
46902,E2020100109201,長野県長野市,長野市立三輪小学校,長野県長野市三輪8-3-2,1,1,,1,,,,,1,36.662501738917,138.20280585051,
46903,E2020100110201,長野県長野市,三輪体育館,長野県長野市三輪8-43-17,1,1,,1,,,,,1,36.66460555,138.19686111,
46904,E2020100111201,長野県長野市,長野県立大学三輪キャンパス,長野県長野市三輪8-49-7,1,1,,1,,,,,1,36.665966,138.200529,
46905,E2020100112201,長野県長野市,美和公園,長野県長野市三輪8-50,1,1,,1,,,,,,36.66617471,138.2022676,
46906,E2020100113201,長野県長野市,教育支援センターＳａＳａＬＡＮＤ,長野県長野市七二会己14-4,,,,1,,,,,1,36.61119488,138.0831126,
46907,E2020100114201,長野県長野市,長野市立七二会小学校,長野県長野市七二会丁220,1,1,,1,,,,,1,36.627593064791,138.078740995,
46908,E2020100115201,長野県長野市,旧七二会中学校,長野県長野市七二会丁227,1,1,,1,,,,,1,36.628943858528,138.07912216792,
46909,E2020100116201,長野県長野市,長野市立塩崎小学校,長野県長野市篠ノ井塩崎3333,,1,,1,,,,,1,36.55102733,138.1155528,
46910,E2020100117201,長野県長野市,塩崎体育館,長野県長野市篠ノ井塩崎5268,,1,,1,,,,,1,36.557570268589,138.11765160112,
46911,E2020100118201,長野県長野市,篠ノ井体育館,長野県長野市篠ノ井岡田2059-1,1,1,,1,,,,,1,36.58597356,138.1308477,
46912,E2020100119201,長野県長野市,篠ノ井中央公園,長野県長野市篠ノ井会716,,1,,1,,,,,,36.5738723,138.1517623,
46913,E2020100120201,長野県長野市,長野俊英高等学校,長野県長野市篠ノ井御幣川1045,,1,,1,,,,,,36.56984053,138.1440856,
46914,E2020100121201,長野県長野市,長野市立通明小学校,長野県長野市篠ノ井御幣川270,,1,,1,,,,,1,36.57200787,138.1383125,
46915,E2020100122201,長野県長野市,篠ノ井支所前,長野県長野市篠ノ井御幣川281-1,,1,,1,,,,,,36.57327777,138.13856944,
46916,E2020100123201,長野県長野市,篠ノ井村山健康スポーツセンター,長野県長野市篠ノ井山布施8282,,,,1,,,,,1,36.61554332,138.0955615,
46917,E2020100124201,長野県長野市,小松原体育館,長野県長野市篠ノ井小松原1056-2,1,1,,1,,,,,1,36.614312765537,138.13577951673,
46918,E2020100125201,長野県長野市,専門学校　長野自動車大学校　北側校庭,長野県長野市篠ノ井小松原2240-1,,,,1,,,,,,36.60032785,138.1303567,
46919,E2020100126201,長野県長野市,長野市立共和小学校,長野県長野市篠ノ井小松原600,1,1,,1,,,,,1,36.60045156,138.1361585,
46920,E2020100127201,長野県長野市,南部勤労青少年ホーム,長野県長野市篠ノ井小森578,,1,,1,,,,,,36.57619859,138.1582871,
46921,E2020100128201,長野県長野市,長野市立篠ノ井東中学校,長野県長野市篠ノ井小森840,,1,,1,,,,,1,36.571686636285,138.15699430885,
46922,E2020100129201,長野県長野市,長野市立篠ノ井東小学校,長野県長野市篠ノ井東福寺1538,,1,,1,,,,,1,36.57936078,138.1777269,
46923,E2020100130201,長野県長野市,長野県消防学校,長野県長野市篠ノ井東福寺2375-1,,1,,1,,,,,,36.57113996,138.175073,
46924,E2020100131201,長野県長野市,南長野運動公園,長野県長野市篠ノ井東福寺320,1,1,,1,,1,,,1,36.5805352,138.167282,
