NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
35957,E2020100001111,長野県長野市,長野市立松ヶ丘小学校,長野県長野市安茂里小市2-20-1,1,,,36.626755713926,138.14337774222,
35958,E2020100002111,長野県長野市,安茂里体育館,長野県長野市安茂里小市3-27-11,1,,,36.622856961504,138.14265615627,
35959,E2020100003111,長野県長野市,長野市立下氷鉋小学校,長野県長野市稲里町下氷鉋50,1,,,36.600740094088,138.17705252191,
35960,E2020100004111,長野県長野市,長野市立広徳中学校,長野県長野市稲里町田牧1355-1,1,,,36.59256568,138.1720717,
35961,E2020100005111,長野県長野市,長野県長野南高等学校,長野県長野市稲里町田牧236-2,1,,,36.59871647,138.177849,
35962,E2020100006111,長野県長野市,長野市立北部中学校,長野県長野市屋敷田389,1,,,36.68208162,138.2126035,
35963,E2020100007111,長野県長野市,美里集会所,長野県長野市鬼無里10817-1,1,,,36.69444192,138.0083949,
35964,E2020100008111,長野県長野市,小鬼無里公民館,長野県長野市鬼無里11493-3,1,,,36.68956833,138.0070172,
35965,E2020100009111,長野県長野市,松原公民館,長野県長野市鬼無里12615,1,,,36.679319042749,137.99147012908,
35966,E2020100010111,長野県長野市,鬼無里公民館両京分館,長野県長野市鬼無里13994-1,1,,,36.68570229,137.9670519,
35967,E2020100011111,長野県長野市,東京公民館,長野県長野市鬼無里14163-1,1,,,36.68840059,137.966413,
35968,E2020100012111,長野県長野市,鬼無里屋内運動場,長野県長野市鬼無里147-8,1,,,36.67855443,138.004836,
35969,E2020100014111,長野県長野市,鬼無里老人福祉センター,長野県長野市鬼無里160-3,1,,,36.680520884045,138.00309110937,
35970,E2020100015111,長野県長野市,鬼無里高齢者生活福祉センター,長野県長野市鬼無里160-4,1,,,36.680279963301,138.00348807631,
35971,E2020100017111,長野県長野市,新倉地区公民館,長野県長野市鬼無里2309-1,1,,,36.68061688913,138.01357331505,
35972,E2020100018111,長野県長野市,東町公民館,長野県長野市鬼無里2940,1,,,36.68557343,138.0083933,
35973,E2020100019111,長野県長野市,町区公民館,長野県長野市鬼無里309-3,1,,,36.68210095,138.0036527,
35974,E2020100020111,長野県長野市,上新倉公民館,長野県長野市鬼無里3694-2,1,,,36.68498615,138.015366,
35975,E2020100021111,長野県長野市,大沢集会所,長野県長野市鬼無里4158-1,1,,,36.69693827,138.0221338,
35976,E2020100022111,長野県長野市,山大公民館,長野県長野市鬼無里4959-1,1,,,36.7020341,138.027489,
35977,E2020100023111,長野県長野市,峯地区公民館,長野県長野市鬼無里5925,1,,,36.71507329,138.036326,
35978,E2020100024111,長野県長野市,品沢高原体育館,長野県長野市鬼無里6770-17,1,,,36.73297417,138.0365473,
35979,E2020100025111,長野県長野市,上里健康スポーツセンター,長野県長野市鬼無里7395,1,,,36.71205069,138.0219912,
35980,E2020100026111,長野県長野市,鬼無里公民館上里分館,長野県長野市鬼無里7420-1,1,,,36.71219239,138.0224126,
35981,E2020100027111,長野県長野市,長野市立鬼無里小学校・鬼無里中学校,長野県長野市鬼無里77,1,,,36.678912482205,138.00475779254,
35982,E2020100030111,長野県長野市,財又公民館,長野県長野市鬼無里9294-1,1,,,36.70339562,138.0143057,
35983,E2020100028111,長野県長野市,坂屋公民館,長野県長野市鬼無里８６４３－イ,1,,,36.7076072,138.0187806,
35984,E2020100029111,長野県長野市,新井公民館,長野県長野市鬼無里８８２６－イ,1,,,36.706314059503,138.01865994687,
35985,E2020100031111,長野県長野市,裾花第一公民館,長野県長野市鬼無里日影10430-7,1,,,36.70616689,137.9565294,
35986,E2020100032111,長野県長野市,裾花第二公民館,長野県長野市鬼無里日影11023-3,1,,,36.7153729,137.9635506,
35987,E2020100033111,長野県長野市,鬼無里活性化センター,長野県長野市鬼無里日影2750-1,1,,,36.68018062,138.0015068,
35988,E2020100034111,長野県長野市,中区第一公民館,長野県長野市鬼無里日影3535-1,1,,,36.671864758479,137.9962884724,
35989,E2020100035111,長野県長野市,中区第二公民館,長野県長野市鬼無里日影4274,1,,,36.66992534,137.9935493,
35990,E2020100036111,長野県長野市,中区活性化センター,長野県長野市鬼無里日影4965-2,1,,,36.67324623,137.9921455,
35991,E2020100037111,長野県長野市,祖山集会場,長野県長野市鬼無里日影5046-1,1,,,36.67392482,137.9900553,
35992,E2020100038111,長野県長野市,共栄公民館,長野県長野市鬼無里日影5954-2,1,,,36.68086293,137.9827152,
35993,E2020100039111,長野県長野市,西京公民館,長野県長野市鬼無里日影6745-1,1,,,36.68592595,137.9640348,
35994,E2020100040111,長野県長野市,両京健康スポーツセンター,長野県長野市鬼無里日影6831,1,,,36.685683501606,137.96578309889,
35995,E2020100041111,長野県長野市,田之頭公民館,長野県長野市鬼無里日影8754-2,1,,,36.68738976,137.9417464,
35996,E2020100042111,長野県長野市,上平公民館,長野県長野市鬼無里日影891-5,1,,,36.673572807774,138.00692519047,
35997,E2020100045111,長野県長野市,長野市立吉田小学校,長野県長野市吉田3-12-12,1,,,36.66936777,138.2216355,
35998,E2020100046111,長野県長野市,長野運動公園,長野県長野市吉田5-1-19,1,,,36.66090267,138.231284,
35999,E2020100047111,長野県長野市,長野市立東部中学校,長野県長野市桐原2-8-1,1,,,36.664272264942,138.21855771394,
36000,E2020100048111,長野県長野市,長野県長野吉田高等学校戸隠分校,長野県長野市戸隠1491,1,,,36.72776278,138.0789174,
36001,E2020100049111,長野県長野市,戸隠交流促進施設（そばの里二番館）,長野県長野市戸隠1584,1,,,36.72748611,138.077,
36002,E2020100050111,長野県長野市,宝光社振興館,長野県長野市戸隠2174-1,1,,,36.72935949,138.0769066,
36003,E2020100051111,長野県長野市,戸隠中社公会堂,長野県長野市戸隠3422-1,1,,,36.7388369,138.0852177,
36004,E2020100052111,長野県長野市,越水生活センター,長野県長野市戸隠3648-2,1,,,36.75018601,138.0856121,
36005,E2020100053111,長野県長野市,上楠川文化センター,長野県長野市戸隠870-1,1,,,36.72655796,138.0655081,
36006,E2020100054111,長野県長野市,下祖山公民館,長野県長野市戸隠祖山1055-1,1,,,36.66898403,138.0884059,
36007,E2020100055111,長野県長野市,下内振興館,長野県長野市戸隠祖山1717-1,1,,,36.66907899,138.0916987,
36008,E2020100056111,長野県長野市,坪山ふれあいセンター,長野県長野市戸隠祖山2424-3,1,,,36.66280592,138.096638,
36009,E2020100058111,長野県長野市,ふるさとセンター,長野県長野市戸隠祖山31-1,1,,,36.671983778739,138.07797506529,
36010,E2020100059111,長野県長野市,上組公会堂,長野県長野市戸隠祖山5219-2,1,,,36.66556082,138.0619148,
36011,E2020100060111,長野県長野市,上祖山振興館,長野県長野市戸隠祖山5704-1,1,,,36.66736655,138.0578745,
36012,E2020100061111,長野県長野市,西部公会堂,長野県長野市戸隠祖山6999-2,1,,,36.67014461,138.0503763,
36013,E2020100062111,長野県長野市,今井公会堂,長野県長野市戸隠栃原1162,1,,,36.69483758,138.0672058,
36014,E2020100063111,長野県長野市,福平生活改善センター,長野県長野市戸隠栃原1912-4,1,,,36.68926501,138.0640566,
36015,E2020100065111,長野県長野市,倉平生活改善センター,長野県長野市戸隠栃原249-1,1,,,36.68491381,138.0767191,
36016,E2020100066111,長野県長野市,平多目的集会所,長野県長野市戸隠栃原2549-1,1,,,36.68679675,138.0690556,
36017,E2020100067111,長野県長野市,解藁神社（町組集会所）,長野県長野市戸隠栃原2710-1,1,,,36.68845278,138.0714509,
36018,E2020100068111,長野県長野市,清水集会所,長野県長野市戸隠栃原3103-2,1,,,36.68264369,138.0687154,
36019,E2020100070111,長野県長野市,志垣生活改善センター,長野県長野市戸隠栃原4144-2,1,,,36.67351577,138.0743339,
36020,E2020100071111,長野県長野市,戸隠体育館,長野県長野市戸隠栃原4788-2,1,,,36.67646743,138.0682019,
36021,E2020100072111,長野県長野市,長野市立戸隠公民館,長野県長野市戸隠栃原4789,1,,,36.67662228,138.0675456,
36022,E2020100073111,長野県長野市,五十土生活改善センター,長野県長野市戸隠栃原5276,1,,,36.68570145,138.0625339,
36023,E2020100074111,長野県長野市,笹原公会堂,長野県長野市戸隠栃原5983,1,,,36.68709884,138.0554293,
36024,E2020100075111,長野県長野市,田頭改善センター,長野県長野市戸隠栃原7084,1,,,36.68160647,138.0530239,
36025,E2020100076111,長野県長野市,西条公民館,長野県長野市戸隠栃原7532,1,,,36.68123034,138.0579907,
36026,E2020100077111,長野県長野市,追通生活改善センター,長野県長野市戸隠栃原8868-1,1,,,36.67455077,138.0533093,
36027,E2020100078111,長野県長野市,戸隠裾花デイサービスセンター,長野県長野市戸隠栃原9246-1,1,,,36.67218055,138.04815555,
36028,E2020100064111,長野県長野市,針立組集会所,長野県長野市戸隠栃原２０１９－ロ,1,,,36.69151388,138.06822777,
36029,E2020100079111,長野県長野市,中耕生活改善センター,長野県長野市戸隠豊岡10328-1,1,,,36.702178548006,138.10152372357,
36030,E2020100080111,長野県長野市,銚子口生活改善センター,長野県長野市戸隠豊岡10392-4,1,,,36.69445123,138.1054018,
36031,E2020100081111,長野県長野市,二条生活改善センター,長野県長野市戸隠豊岡1226-5,1,,,36.70642873,138.0866096,
36032,E2020100082111,長野県長野市,馬場生活改善センター,長野県長野市戸隠豊岡1521-2,1,,,36.703834391231,138.09082707403,
36033,E2020100083111,長野県長野市,長野市立戸隠小学校,長野県長野市戸隠豊岡1531,1,,,36.703384738599,138.08894581942,
36034,E2020100084111,長野県長野市,中央生活改善センター,長野県長野市戸隠豊岡1533-7,1,,,36.702891736253,138.0884929241,
36035,E2020100085111,長野県長野市,戸隠農村環境改善センター,長野県長野市戸隠豊岡1550-1,1,,,36.70224152,138.0888516,
36036,E2020100086111,長野県長野市,和沢生活改善センター,長野県長野市戸隠豊岡2251-4,1,,,36.70279426,138.0918455,
36037,E2020100087111,長野県長野市,中村公会堂,長野県長野市戸隠豊岡2488,1,,,36.70233287,138.0955909,
36038,E2020100088111,長野県長野市,長野市立戸隠中学校,長野県長野市戸隠豊岡2960,1,,,36.699767466096,138.09367817691,
36039,E2020100089111,長野県長野市,横道公会堂,長野県長野市戸隠豊岡3146-3,1,,,36.69637807,138.0882011,
36040,E2020100090111,長野県長野市,上楡木生活改善センター,長野県長野市戸隠豊岡3301-4,1,,,36.6949993,138.0870097,
36041,E2020100091111,長野県長野市,原生活改善センター,長野県長野市戸隠豊岡336-4,1,,,36.70880959,138.0957503,
36042,E2020100092111,長野県長野市,東原生活改善センター,長野県長野市戸隠豊岡4166,1,,,36.6889934,138.0960709,
36043,E2020100093111,長野県長野市,猿丸生活改善センター,長野県長野市戸隠豊岡4494-1,1,,,36.68371521,138.0966942,
36044,E2020100094111,長野県長野市,川下生活改善センター,長野県長野市戸隠豊岡4785,1,,,36.67175894,138.0981954,
36045,E2020100095111,長野県長野市,川手区活性化支援センター（川手記念館）,長野県長野市戸隠豊岡6054-2,1,,,36.67531833,138.078288,
36046,E2020100096111,長野県長野市,日照田生活改善センター,長野県長野市戸隠豊岡6087-2,1,,,36.67674743,138.0790325,
36047,E2020100097111,長野県長野市,折橋公会堂,長野県長野市戸隠豊岡6985,1,,,36.68865331,138.0800015,
36048,E2020100098111,長野県長野市,下楠川生活改善センター,長野県長野市戸隠豊岡7541,1,,,36.707270689693,138.07669183253,
36049,E2020100100111,長野県長野市,西部区活性化促進センター,長野県長野市戸隠豊岡8254,1,,,36.70142472,138.072794,
36050,E2020100101111,長野県長野市,奈良尾公会堂,長野県長野市戸隠豊岡9027,1,,,36.69922728,138.0715833,
36051,E2020100099111,長野県長野市,尾上生活改善センター,長野県長野市戸隠豊岡７７９－イ,1,,,36.711099308361,138.08847760657,
36052,E2020100102111,長野県長野市,母袋公会堂,長野県長野市戸隠豊岡９４７３－ロ,1,,,36.70079928,138.0661213,
36053,E2020100107111,長野県長野市,長野市立三本柳小学校,長野県長野市三本柳東2-1,1,,,36.618650592884,138.1664791756,
36054,E2020100108111,長野県長野市,長野市立城東小学校,長野県長野市三輪6-14-30,1,,,36.657176134923,138.19814495574,
36055,E2020100109111,長野県長野市,長野市立三輪小学校,長野県長野市三輪8-3-2,1,,,36.662501738917,138.20280585051,
36056,E2020100110111,長野県長野市,三輪体育館,長野県長野市三輪8-43-17,1,,,36.66460555,138.19686111,
36057,E2020100111111,長野県長野市,長野県立大学三輪キャンパス,長野県長野市三輪8-49-7,1,,,36.665966,138.200529,
